	id	source	target	file_name
0	1	A country whose people are not even aware that they actually housed the Greatest Civilization in the Whole World , what great future could you predict for them ?	Un país cuyo pueblo ni siquiera es consciente de que alberga la mayor civilización de todo el mundo, ¿qué gran futuro se le puede augurar?	q_en_en-es_d
1	2	! - - - - - - Contest Announcement!! - - - - - - !	¡! - - - - - ¡Concurso!! ¡- - - - - !	q_en_en-es_d
2	3	! Much Easier to Control the Spread.!	¡! Es mucho más fácil controlar la propagación.!	q_en_en-es_d
3	4	! The Administration can of course clamp Lockdowns at their Sweet Will.	¡! La Administración puede, por supuesto, sujetar los bloqueos a su dulce voluntad.	q_en_en-es_d
4	5	!!! WE DO’NT YET KNOW, THE DEGREE IF EFFICATIOUSNESS .	¡¡¡!!! NO SABEMOS TODAVÍA, EL GRADO DE EFICACIA.	q_en_en-es_d
5	6	!!! You became its next victim when you entered crowded spaces where they and You did not wear masks.	¡¡¡!!! Te convertiste en su próxima víctima cuando entraste en espacios concurridos donde ellos y Tú no llevaban máscaras.	q_en_en-es_d
6	7	!!!! PAY ATTENTION !!!! Covid-19 is not a VIRUS !!!!	¡¡¡¡!!!! ¡¡¡¡ATENCIÓN !!!! ¡¡¡¡Covid-19 no es un VIRUS !!!!	q_en_en-es_d
7	8	!!Currently whole world is suffering from a big pandemic which is getting more complex day by day .	Actualmente el mundo entero está sufriendo una gran pandemia que se hace más compleja día a día.	q_en_en-es_d
8	9	!!Lastly I have a request to all of you that plz stay home and maintain the objectives of social distancing ????????????????????????????!!	Por último os pido que os quedéis en casa y mantengáis los objetivos de distanciamiento social ????????????????????????????!	q_en_en-es_d
9	10	!!So we are seeing that now India is on the brink or edge of becoming a big manufacturing center than China!!	¡Así que estamos viendo que ahora la India está en el borde o el borde de convertirse en un gran centro de fabricación de China!	q_en_en-es_d
10	11	!!There are lof differences between these three Holocaust , these differences can be on the basis of mode of occurrence, it can be on the basis of geographically affected area , or it can also be on the basis of “complexity”of these three calamities!! .	"Hay muchas diferencias entre estos tres Holocausto, estas diferencias pueden ser sobre la base del modo de ocurrencia, puede ser sobre la base de la zona geográficamente afectada, o también puede ser sobre la base de la ""complejidad"" de estas tres calamidades. ."	q_en_en-es_d
11	12	!!This cataclyscm is still ongoing , so please follow all the guidelines and follow the objectives of social distancing ????????????????????????????????it is our duty to help our government and do some good stuffs for the sake of humanity in this war against Covid ,????????????????????????????????!!	¡Esta catástrofe todavía está en curso, así que por favor siga todas las directrices y siga los objetivos de distanciamiento social ???????????????????????????????? es nuestro deber ayudar a nuestro gobierno y hacer algunas cosas buenas por el bien de la humanidad en esta guerra contra Covid, ????????????????????????????????!	q_en_en-es_d
12	13	!) The odds of infection are low.	!) Las probabilidades de contagio son bajas.	q_en_en-es_d
